setting,key,desc,image_rel,image_path,tid,intent_qtype,intent_mode,used_intent,pred_intent,gold_intent,intent_correct,answer,reference_labels,label,BLEU4,TokenF1
D1__t2t__rgb0__tpl1__imode_predicted,D1,intent_pred,images_rgb/image_437_rgb.jpg,data/ssvtp\images_rgb/image_437_rgb.jpg,437,property,predicted,predicted,,,0,"The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",,"smooth, glossy, patterned",0.04368583925857939,0.0
D1__t2t__rgb0__tpl1__imode_predicted,D1,intent_pred,images_rgb/image_437_rgb.jpg,data/ssvtp\images_rgb/image_437_rgb.jpg,437,comparison,predicted,predicted,,,0,"The surface feels soft, lined, fabric. It closely matches with fabric, fluffy, absorbent, indicating a tactile similarity.",,"smooth, glossy, patterned",0.032342452920962154,0.0
D1__t2t__rgb0__tpl1__imode_predicted,D1,intent_pred,images_rgb/image_437_rgb.jpg,data/ssvtp\images_rgb/image_437_rgb.jpg,437,judgement,predicted,predicted,,,0,"The sample feels soft, lined, fabric. These cues may indicate a fabric-like material.",,"smooth, glossy, patterned",0.040161384364076534,0.0
D1__t2t__rgb0__tpl1__imode_predicted,D1,intent_pred,images_rgb/image_4210_rgb.jpg,data/ssvtp\images_rgb/image_4210_rgb.jpg,4210,property,predicted,predicted,,,0,"The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",,"flat, lined, hard",0.05195151087116781,0.125
D1__t2t__rgb0__tpl1__imode_predicted,D1,intent_pred,images_rgb/image_4210_rgb.jpg,data/ssvtp\images_rgb/image_4210_rgb.jpg,4210,comparison,predicted,predicted,,,0,"The surface is smooth, fabric. It resembles the reference tactile sample ""fabric, smooth"" closely.",,"flat, lined, hard",0.040161384364076534,0.0
D1__t2t__rgb0__tpl1__imode_predicted,D1,intent_pred,images_rgb/image_4210_rgb.jpg,data/ssvtp\images_rgb/image_4210_rgb.jpg,4210,judgement,predicted,predicted,,,0,"The sample feels smooth, fabric. These cues may indicate a fabric-like material.",,"flat, lined, hard",0.04368583925857939,0.0
D1__t2t__rgb0__tpl1__imode_predicted,D1,intent_pred,images_rgb/image_3312_rgb.jpg,data/ssvtp\images_rgb/image_3312_rgb.jpg,3312,property,predicted,predicted,,,0,"The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",,"fabric, coarse, deformable",0.05195151087116781,0.125
D1__t2t__rgb0__tpl1__imode_predicted,D1,intent_pred,images_rgb/image_3312_rgb.jpg,data/ssvtp\images_rgb/image_3312_rgb.jpg,3312,comparison,predicted,predicted,,,0,"The surface feels lined, grainy, fabric. It best matches with the reference tactile labels fabric, grainy, indicating a similar tactile feel.",,"fabric, coarse, deformable",0.030542786342810865,0.1
D1__t2t__rgb0__tpl1__imode_predicted,D1,intent_pred,images_rgb/image_3312_rgb.jpg,data/ssvtp\images_rgb/image_3312_rgb.jpg,3312,judgement,predicted,predicted,,,0,"The sample feels fabric, lined. These cues may indicate a fabric-like material.",,"fabric, coarse, deformable",0.05195151087116781,0.13333333333333333
D1__t2t__rgb0__tpl1__imode_predicted,D1,intent_pred,images_rgb/image_3131_rgb.jpg,data/ssvtp\images_rgb/image_3131_rgb.jpg,3131,property,predicted,predicted,,,0,"The surface feels fabric, grainy, providing a consistent and stable tactile experience.",,"sewn, coarse, fabric, deformable",0.05695389012765513,0.125
