setting,key,desc,image_rel,image_path,tid,intent_qtype,intent_mode,used_intent,pred_intent,gold_intent,intent_correct,answer,reference_labels,label,BLEU4,TokenF1
B0__t2t__rgb0__tpl1__imode_gold,B0,baseline,images_rgb/image_437_rgb.jpg,data/ssvtp\images_rgb/image_437_rgb.jpg,437,property,gold,gold,,,0,"The surface feels soft, patterned, fabric, providing a consistent and stable tactile experience.",,"smooth, glossy, patterned",0.05195151087116781,0.125
B0__t2t__rgb0__tpl1__imode_gold,B0,baseline,images_rgb/image_437_rgb.jpg,data/ssvtp\images_rgb/image_437_rgb.jpg,437,comparison,gold,gold,,,0,"The surface feels soft, lined, fabric. It best matches with the reference tactile cues: fabric, lined.",,"smooth, glossy, patterned",0.034585921141027376,0.0
B0__t2t__rgb0__tpl1__imode_gold,B0,baseline,images_rgb/image_437_rgb.jpg,data/ssvtp\images_rgb/image_437_rgb.jpg,437,judgement,gold,gold,,,0,"The sample feels soft, lined, fabric. These cues may indicate a fabric-like material.",,"smooth, glossy, patterned",0.040161384364076534,0.0
B0__t2t__rgb0__tpl1__imode_gold,B0,baseline,images_rgb/image_4210_rgb.jpg,data/ssvtp\images_rgb/image_4210_rgb.jpg,4210,property,gold,gold,,,0,"The surface feels shiny, woven, providing a consistent and stable tactile experience.",,"flat, lined, hard",0.04789232204309912,0.0
B0__t2t__rgb0__tpl1__imode_gold,B0,baseline,images_rgb/image_4210_rgb.jpg,data/ssvtp\images_rgb/image_4210_rgb.jpg,4210,comparison,gold,gold,,,0,"The surface feels shiny, woven. It resembles glossy, woven, indicating a close match.",,"flat, lined, hard",0.04368583925857939,0.0
B0__t2t__rgb0__tpl1__imode_gold,B0,baseline,images_rgb/image_4210_rgb.jpg,data/ssvtp\images_rgb/image_4210_rgb.jpg,4210,judgement,gold,gold,,,0,"The sample feels shiny, sewn. These cues may indicate a metal-like material.",,"flat, lined, hard",0.04368583925857939,0.0
B0__t2t__rgb0__tpl1__imode_gold,B0,baseline,images_rgb/image_3312_rgb.jpg,data/ssvtp\images_rgb/image_3312_rgb.jpg,3312,property,gold,gold,,,0,"The surface feels grainy, fabric, providing a consistent and stable tactile experience.",,"fabric, coarse, deformable",0.05695389012765513,0.13333333333333333
B0__t2t__rgb0__tpl1__imode_gold,B0,baseline,images_rgb/image_3312_rgb.jpg,data/ssvtp\images_rgb/image_3312_rgb.jpg,3312,comparison,gold,gold,,,0,"The surface feels lined, grainy, fabric. It resembles fabric more than flat, smooth, based on these traits.",,"fabric, coarse, deformable",0.038461875130248735,0.10526315789473684
B0__t2t__rgb0__tpl1__imode_gold,B0,baseline,images_rgb/image_3312_rgb.jpg,data/ssvtp\images_rgb/image_3312_rgb.jpg,3312,judgement,gold,gold,,,0,"The sample feels soft, fabric. These cues may indicate a fabric-like material.",,"fabric, coarse, deformable",0.05195151087116781,0.13333333333333333
B0__t2t__rgb0__tpl1__imode_gold,B0,baseline,images_rgb/image_3131_rgb.jpg,data/ssvtp\images_rgb/image_3131_rgb.jpg,3131,property,gold,gold,,,0,"The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",,"sewn, coarse, fabric, deformable",0.05195151087116781,0.11764705882352941
B0__t2t__rgb0__tpl1__imode_gold,B0,baseline,images_rgb/image_3131_rgb.jpg,data/ssvtp\images_rgb/image_3131_rgb.jpg,3131,comparison,gold,gold,,,0,"The surface feels soft, fabric, patterned. It resembles fabric, patterned, indicating a close match.",,"sewn, coarse, fabric, deformable",0.04776020403411885,0.125
B0__t2t__rgb0__tpl1__imode_gold,B0,baseline,images_rgb/image_3131_rgb.jpg,data/ssvtp\images_rgb/image_3131_rgb.jpg,3131,judgement,gold,gold,,,0,"The sample feels soft, fabric. These cues may indicate a fabric-like material.",,"sewn, coarse, fabric, deformable",0.05195151087116781,0.125
B0__t2t__rgb0__tpl1__imode_gold,B0,baseline,images_rgb/image_3881_rgb.jpg,data/ssvtp\images_rgb/image_3881_rgb.jpg,3881,property,gold,gold,,,0,"The surface feels woven, thick, providing a consistent and stable tactile experience.",,"flimsy, glossy, sewn",0.04789232204309912,0.0
B0__t2t__rgb0__tpl1__imode_gold,B0,baseline,images_rgb/image_3881_rgb.jpg,data/ssvtp\images_rgb/image_3881_rgb.jpg,3881,comparison,gold,gold,,,0,"The surface feels smooth, fabric. It closely matches the reference tactile labels, fabric, smooth, indicating a similar touch experience.",,"flimsy, glossy, sewn",0.028629993657668874,0.0
B0__t2t__rgb0__tpl1__imode_gold,B0,baseline,images_rgb/image_3881_rgb.jpg,data/ssvtp\images_rgb/image_3881_rgb.jpg,3881,judgement,gold,gold,,,0,"The material feels smooth, fabric. These cues may indicate a fabric-like material.",,"flimsy, glossy, sewn",0.04368583925857939,0.0
B0__t2t__rgb0__tpl1__imode_gold,B0,baseline,images_rgb/image_2275_rgb.jpg,data/ssvtp\images_rgb/image_2275_rgb.jpg,2275,property,gold,gold,,,0,"The surface feels soft, lined, fabric, patterned, providing a consistent and stable tactile experience.",,"lined, deformable, soft, woven",0.0567967744513558,0.22222222222222224
B0__t2t__rgb0__tpl1__imode_gold,B0,baseline,images_rgb/image_2275_rgb.jpg,data/ssvtp\images_rgb/image_2275_rgb.jpg,2275,comparison,gold,gold,,,0,"The surface feels soft, lined, fabric. It closely matches the reference tactile cues fabric, soft, indicating a tactile similarity.",,"lined, deformable, soft, woven",0.04048892532133102,0.2105263157894737
