url,tactile,caption,index
images_rgb/image_106_rgb.jpg,images_tac/image_106_tac.jpg,"soft, patterned, lined, fabric",106
images_rgb/image_2101_rgb.jpg,images_tac/image_2101_tac.jpg,"lined, woven, patterned",2101
images_rgb/image_894_rgb.jpg,images_tac/image_894_tac.jpg,"fabric, bumpy",894
images_rgb/image_2488_rgb.jpg,images_tac/image_2488_tac.jpg,"deformable, grainy",2488
images_rgb/image_2803_rgb.jpg,images_tac/image_2803_tac.jpg,"soft, lined, fabric",2803
images_rgb/image_627_rgb.jpg,images_tac/image_627_tac.jpg,"creased, fabric, smooth",627
images_rgb/image_143_rgb.jpg,images_tac/image_143_tac.jpg,"hard, splotchy, glossy",143
images_rgb/image_2518_rgb.jpg,images_tac/image_2518_tac.jpg,"granular, lacey",2518
images_rgb/image_229_rgb.jpg,images_tac/image_229_tac.jpg,"smooth, fabric, flat",229
images_rgb/image_348_rgb.jpg,images_tac/image_348_tac.jpg,"lined, flat, smooth, fabric",348
images_rgb/image_4454_rgb.jpg,images_tac/image_4454_tac.jpg,"woven, round, flexible",4454
images_rgb/image_2465_rgb.jpg,images_tac/image_2465_tac.jpg,"lined, fabric",2465
images_rgb/image_2702_rgb.jpg,images_tac/image_2702_tac.jpg,"deformable, lined",2702
images_rgb/image_1187_rgb.jpg,images_tac/image_1187_tac.jpg,"soft, grainy, fabric",1187
images_rgb/image_2367_rgb.jpg,images_tac/image_2367_tac.jpg,"flat, hard",2367
images_rgb/image_2612_rgb.jpg,images_tac/image_2612_tac.jpg,"meshed, coarse",2612
images_rgb/image_2445_rgb.jpg,images_tac/image_2445_tac.jpg,"lined, fabric, soft",2445
images_rgb/image_2401_rgb.jpg,images_tac/image_2401_tac.jpg,"lined, soft, fabric",2401
images_rgb/image_16_rgb.jpg,images_tac/image_16_tac.jpg,"fabric, patterned",16
images_rgb/image_96_rgb.jpg,images_tac/image_96_tac.jpg,"hard, smooth, splotchy, flat",96
images_rgb/image_2530_rgb.jpg,images_tac/image_2530_tac.jpg,"lined, fabric, flat",2530
images_rgb/image_2281_rgb.jpg,images_tac/image_2281_tac.jpg,"lined, fabric",2281
images_rgb/image_364_rgb.jpg,images_tac/image_364_tac.jpg,"lined, deformable",364
images_rgb/image_3391_rgb.jpg,images_tac/image_3391_tac.jpg,"fabric, smooth",3391
images_rgb/image_156_rgb.jpg,images_tac/image_156_tac.jpg,"hard, flat, splotchy, smooth",156
images_rgb/image_1422_rgb.jpg,images_tac/image_1422_tac.jpg,"soft, fabric, lined",1422
images_rgb/image_1227_rgb.jpg,images_tac/image_1227_tac.jpg,"hard, smooth, splotchy, flat",1227
images_rgb/image_1794_rgb.jpg,images_tac/image_1794_tac.jpg,"rigid, smooth",1794
images_rgb/image_4047_rgb.jpg,images_tac/image_4047_tac.jpg,"soft, grainy, fabric, patterned",4047
images_rgb/image_2900_rgb.jpg,images_tac/image_2900_tac.jpg,"soft, lined, fabric",2900
images_rgb/image_1675_rgb.jpg,images_tac/image_1675_tac.jpg,"flat, fabric, grainy",1675
images_rgb/image_153_rgb.jpg,images_tac/image_153_tac.jpg,"grainy, soft, fabric",153
images_rgb/image_3275_rgb.jpg,images_tac/image_3275_tac.jpg,"soft, grainy, patterned, fabric",3275
