url,tactile,caption
images_rgb/image_106_rgb.jpg,images_tac/image_106_tac.jpg,"soft, patterned, lined, fabric"
images_rgb/image_2101_rgb.jpg,images_tac/image_2101_tac.jpg,"lined, woven, patterned"
images_rgb/image_894_rgb.jpg,images_tac/image_894_tac.jpg,"fabric, bumpy"
images_rgb/image_2488_rgb.jpg,images_tac/image_2488_tac.jpg,"deformable, grainy"
images_rgb/image_2803_rgb.jpg,images_tac/image_2803_tac.jpg,"soft, lined, fabric"
images_rgb/image_627_rgb.jpg,images_tac/image_627_tac.jpg,"creased, fabric, smooth"
images_rgb/image_143_rgb.jpg,images_tac/image_143_tac.jpg,"hard, splotchy, glossy"
images_rgb/image_2518_rgb.jpg,images_tac/image_2518_tac.jpg,"granular, lacey"
images_rgb/image_229_rgb.jpg,images_tac/image_229_tac.jpg,"smooth, fabric, flat"
images_rgb/image_348_rgb.jpg,images_tac/image_348_tac.jpg,"lined, flat, smooth, fabric"
images_rgb/image_4454_rgb.jpg,images_tac/image_4454_tac.jpg,"woven, round, flexible"
images_rgb/image_2465_rgb.jpg,images_tac/image_2465_tac.jpg,"lined, fabric"
images_rgb/image_2702_rgb.jpg,images_tac/image_2702_tac.jpg,"deformable, lined"
images_rgb/image_1187_rgb.jpg,images_tac/image_1187_tac.jpg,"soft, grainy, fabric"
images_rgb/image_2367_rgb.jpg,images_tac/image_2367_tac.jpg,"flat, hard"
images_rgb/image_2612_rgb.jpg,images_tac/image_2612_tac.jpg,"meshed, coarse"
images_rgb/image_2445_rgb.jpg,images_tac/image_2445_tac.jpg,"lined, fabric, soft"
images_rgb/image_2401_rgb.jpg,images_tac/image_2401_tac.jpg,"lined, soft, fabric"
images_rgb/image_16_rgb.jpg,images_tac/image_16_tac.jpg,"fabric, patterned"
images_rgb/image_96_rgb.jpg,images_tac/image_96_tac.jpg,"hard, smooth, splotchy, flat"
images_rgb/image_2530_rgb.jpg,images_tac/image_2530_tac.jpg,"lined, fabric, flat"
images_rgb/image_2281_rgb.jpg,images_tac/image_2281_tac.jpg,"lined, fabric"
images_rgb/image_364_rgb.jpg,images_tac/image_364_tac.jpg,"lined, deformable"
images_rgb/image_3391_rgb.jpg,images_tac/image_3391_tac.jpg,"fabric, smooth"
images_rgb/image_156_rgb.jpg,images_tac/image_156_tac.jpg,"hard, flat, splotchy, smooth"
