setting,key,desc,image_rel,image_path,tid,intent_qtype,intent_mode,used_intent,pred_intent,gold_intent,intent_correct,answer,reference_labels,label,BLEU4,TokenF1
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_437_rgb.jpg,data/ssvtp\images_rgb/image_437_rgb.jpg,437,property,gold,gold,,,0,"The surface feels lined, fabric, providing a consistent and stable tactile experience.",,"smooth, glossy, patterned",0.04789232204309912,0.0
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_437_rgb.jpg,data/ssvtp\images_rgb/image_437_rgb.jpg,437,comparison,gold,gold,,,0,"The surface feels fabric, lined. It resembles the reference tactile labels fabric, fuzzy, indicating a similar tactile experience.",,"smooth, glossy, patterned",0.03037294035438341,0.0
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_437_rgb.jpg,data/ssvtp\images_rgb/image_437_rgb.jpg,437,judgement,gold,gold,,,0,"The sample feels lined, fabric, soft. These cues may indicate a fabric-like material.",,"smooth, glossy, patterned",0.040161384364076534,0.0
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_4210_rgb.jpg,data/ssvtp\images_rgb/image_4210_rgb.jpg,4210,property,gold,gold,,,0,"The surface feels shiny, woven, providing a consistent and stable tactile experience.",,"flat, lined, hard",0.04789232204309912,0.0
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_4210_rgb.jpg,data/ssvtp\images_rgb/image_4210_rgb.jpg,4210,comparison,gold,gold,,,0,"The surface feels rubbery, tough, round. It most closely matches the ""soft, tough"" reference tactile labels.",,"flat, lined, hard",0.034585921141027376,0.0
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_4210_rgb.jpg,data/ssvtp\images_rgb/image_4210_rgb.jpg,4210,judgement,gold,gold,,,0,"The sample feels woven, glossy. These cues may indicate a metal-like material.",,"flat, lined, hard",0.04368583925857939,0.0
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_3312_rgb.jpg,data/ssvtp\images_rgb/image_3312_rgb.jpg,3312,property,gold,gold,,,0,"The surface feels lined, grainy, fabric, providing a consistent and stable tactile experience.",,"fabric, coarse, deformable",0.05195151087116781,0.125
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_3312_rgb.jpg,data/ssvtp\images_rgb/image_3312_rgb.jpg,3312,comparison,gold,gold,,,0,"The surface feels lined, grainy, fabric, woven. It closely matches with fabric, grainy, woven from the reference tactile labels.",,"fabric, coarse, deformable",0.03404699216018259,0.1111111111111111
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_3312_rgb.jpg,data/ssvtp\images_rgb/image_3312_rgb.jpg,3312,judgement,gold,gold,,,0,"The sample feels fabric, lined. These cues may indicate a fabric-like material.",,"fabric, coarse, deformable",0.05195151087116781,0.13333333333333333
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_3131_rgb.jpg,data/ssvtp\images_rgb/image_3131_rgb.jpg,3131,property,gold,gold,,,0,"The surface feels fabric, grainy, providing a consistent and stable tactile experience.",,"sewn, coarse, fabric, deformable",0.05695389012765513,0.125
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_3131_rgb.jpg,data/ssvtp\images_rgb/image_3131_rgb.jpg,3131,comparison,gold,gold,,,0,"The surface feels soft, fabric. It corresponds closely with the fabric, lined reference.",,"sewn, coarse, fabric, deformable",0.05195151087116781,0.13333333333333333
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_3131_rgb.jpg,data/ssvtp\images_rgb/image_3131_rgb.jpg,3131,judgement,gold,gold,,,0,"The sample feels grainy, fabric. These cues may indicate a fabric-like material.",,"sewn, coarse, fabric, deformable",0.05195151087116781,0.125
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_3881_rgb.jpg,data/ssvtp\images_rgb/image_3881_rgb.jpg,3881,property,gold,gold,,,0,"The surface feels smooth, fabric, providing a consistent and stable tactile experience.",,"flimsy, glossy, sewn",0.04789232204309912,0.0
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_3881_rgb.jpg,data/ssvtp\images_rgb/image_3881_rgb.jpg,3881,comparison,gold,gold,,,0,"The surface feels smooth, fabric. It best matches with the reference tactile sample.",,"flimsy, glossy, sewn",0.04368583925857939,0.0
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_3881_rgb.jpg,data/ssvtp\images_rgb/image_3881_rgb.jpg,3881,judgement,gold,gold,,,0,"The sample feels smooth, fabric. These cues may indicate a fabric-like material.",,"flimsy, glossy, sewn",0.04368583925857939,0.0
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_2275_rgb.jpg,data/ssvtp\images_rgb/image_2275_rgb.jpg,2275,property,gold,gold,,,0,"The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",,"lined, deformable, soft, woven",0.06178110636313397,0.23529411764705882
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_2275_rgb.jpg,data/ssvtp\images_rgb/image_2275_rgb.jpg,2275,comparison,gold,gold,,,0,"The surface feels lined, fabric, soft. It resembles fabric, woven, soft, indicating a consistent and stable tactile experience.",,"lined, deformable, soft, woven",0.04753622060013115,0.3
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_2275_rgb.jpg,data/ssvtp\images_rgb/image_2275_rgb.jpg,2275,judgement,gold,gold,,,0,"The sample feels fabric, lined. These cues may indicate a fabric-like material.",,"lined, deformable, soft, woven",0.05195151087116781,0.125
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_1398_rgb.jpg,data/ssvtp\images_rgb/image_1398_rgb.jpg,1398,property,gold,gold,,,0,"The surface feels lined, fabric, soft, providing a consistent and stable tactile experience.",,"soft, lined, fabric",0.08130850857597448,0.375
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_1398_rgb.jpg,data/ssvtp\images_rgb/image_1398_rgb.jpg,1398,comparison,gold,gold,,,0,"The surface feels soft, lined, fabric. It closely matches with fabric, fluffy, smooth, indicating a similar tactile experience.",,"soft, lined, fabric",0.07994607499472017,0.3
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_1398_rgb.jpg,data/ssvtp\images_rgb/image_1398_rgb.jpg,1398,judgement,gold,gold,,,0,"The sample feels soft, lined, fabric. These cues may indicate a fabric-like material.",,"soft, lined, fabric",0.10571070857151538,0.375
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_1871_rgb.jpg,data/ssvtp\images_rgb/image_1871_rgb.jpg,1871,property,gold,gold,,,0,"The surface feels soft, fabric, lined, providing a consistent and stable tactile experience.",,"lined, grainy, fabric",0.06178110636313397,0.25
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_1871_rgb.jpg,data/ssvtp\images_rgb/image_1871_rgb.jpg,1871,comparison,gold,gold,,,0,"The surface feels soft, fabric. It closely matches with the reference tactile labels fabric, soft, lined.",,"lined, grainy, fabric",0.04891187874480726,0.25
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_1871_rgb.jpg,data/ssvtp\images_rgb/image_1871_rgb.jpg,1871,judgement,gold,gold,,,0,"The surface feels grainy, fabric. These cues may indicate a fabric-like material.",,"lined, grainy, fabric",0.0734705312597788,0.26666666666666666
E2__t2rgbP__rgb1__tpl1__imode_gold,E2,proj_x_rgb,images_rgb/image_2751_rgb.jpg,data/ssvtp\images_rgb/image_2751_rgb.jpg,2751,property,gold,gold,,,0,"The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",,"sewn, soft, fabric",0.06178110636313397,0.25
