image_path,label,image_type,intention,question,reference_labels,model_answer
data/ssvtp\images_tac/image_437_tac.jpg,"smooth, glossy, patterned",tactile,property,Please describe the tactile properties of this sample.,"smooth, plastic, uneven","The surface feels flat, hard, patterned, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_437_tac.jpg,"smooth, glossy, patterned",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","smooth, plastic, uneven|fabric, soft, granular","Sample feels fabric, soft, granular. Compared with rock, it is less hard, rough, rigid, diverging from typical rock traits."
data/ssvtp\images_tac/image_437_tac.jpg,"smooth, glossy, patterned",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","smooth, plastic, uneven|fabric, soft, granular","The surface feels fabric, granular, soft. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_4210_tac.jpg,"flat, lined, hard",tactile,property,Please describe the tactile properties of this sample.,"lined, smooth, flat","The surface feels flat, lined, soft, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_4210_tac.jpg,"flat, lined, hard",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, smooth, flat|uneven, rigid","Sample feels shiny, woven. Compared with rock, it is different. Key traits: lined, smooth, flat."
data/ssvtp\images_tac/image_4210_tac.jpg,"flat, lined, hard",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","lined, smooth, flat|uneven, rigid","The surface feels smooth, fabric. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_3312_tac.jpg,"fabric, coarse, deformable",tactile,property,Please describe the tactile properties of this sample.,"lined, grainy, flat, fabric","The surface feels grainy, fabric, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_3312_tac.jpg,"fabric, coarse, deformable",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, grainy, flat, fabric|lined, granular, patterned","Sample feels lined, grainy, flat, fabric. Compared with rock, it is fabric, granular, diverging from typical rock traits."
data/ssvtp\images_tac/image_3312_tac.jpg,"fabric, coarse, deformable",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","lined, grainy, flat, fabric|lined, granular, patterned","The sample feels grainy, fabric. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_3131_tac.jpg,"sewn, coarse, fabric, deformable",tactile,property,Please describe the tactile properties of this sample.,"sewn, lined, grainy, fabric","The surface feels fabric, grainy, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_3131_tac.jpg,"sewn, coarse, fabric, deformable",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","sewn, lined, grainy, fabric|soft, grainy, fabric, patterned","Sample feels fabric, grainy. Compared with rock, it is less hard, less rigid, diverging from typical rock traits."
data/ssvtp\images_tac/image_3131_tac.jpg,"sewn, coarse, fabric, deformable",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","sewn, lined, grainy, fabric|soft, grainy, fabric, patterned","The surface feels fabric, grainy, patterned. These cues may indicate a fabric-like material."
data/ssvtp\images_tac/image_3881_tac.jpg,"flimsy, glossy, sewn",tactile,property,Please describe the tactile properties of this sample.,"shiny, woven","The surface feels smooth, fabric, providing a consistent and stable tactile experience."
data/ssvtp\images_tac/image_3881_tac.jpg,"flimsy, glossy, sewn",tactile,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","shiny, woven|smooth, fabric","The sample feels shiny, smooth, fabric. Compared with rock, it is less hard, less rough, diverging from typical rock traits."
data/ssvtp\images_tac/image_3881_tac.jpg,"flimsy, glossy, sewn",tactile,judgement,"Based on the tactile cues, what material do you think this sample is?","shiny, woven|smooth, fabric","The surface feels smooth, fabric. It may be fabric-like."
data/ssvtp\images_tac/image_2275_tac.jpg,"lined, deformable, soft, woven",tactile,property,Please describe the tactile properties of this sample.,"lined, fabric, soft, patterned, woven","The surface feels fabric, lined, soft, patterned, woven, providing a consistent and stable tactile experience."
