image_path,intent,question,reference_label,model_answer,rgb_refs_attached,used_intent_template,BLEU4,TokenF1
data/ssvtp\images_tac/image_437_tac.jpg,property,Please describe the tactile properties of this sample.,"smooth, glossy, patterned","The surface feels soft, fabric, providing a consistent and stable tactile experience.",0,False,0.04789232204309912,0.0
data/ssvtp\images_tac/image_437_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","smooth, glossy, patterned","Compared with rock, it feels soft, fabric, diverging from typical rock traits.",0,False,0.04789232204309912,0.0
data/ssvtp\images_tac/image_437_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","smooth, glossy, patterned","The sample feels soft, fabric. These cues may indicate a fabric-like material.",0,False,0.04368583925857939,0.0
data/ssvtp\images_tac/image_4210_tac.jpg,property,Please describe the tactile properties of this sample.,"flat, lined, hard","The surface feels soft, fabric, providing a consistent and stable tactile experience.",0,False,0.04789232204309912,0.0
data/ssvtp\images_tac/image_4210_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","flat, lined, hard","Compared with rock, it feels smooth, fabric, diverging from typical rock traits.",0,False,0.04789232204309912,0.0
data/ssvtp\images_tac/image_4210_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","flat, lined, hard","The sample feels smooth, fabric. These cues may indicate a fabric-like material.",0,False,0.04368583925857939,0.0
data/ssvtp\images_tac/image_3312_tac.jpg,property,Please describe the tactile properties of this sample.,"fabric, coarse, deformable","The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",0,False,0.05195151087116781,0.125
data/ssvtp\images_tac/image_3312_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","fabric, coarse, deformable","Compared with rock, it feels soft, lined, fabric, diverging from typical rock traits.",0,False,0.05195151087116781,0.13333333333333333
data/ssvtp\images_tac/image_3312_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","fabric, coarse, deformable","The sample feels soft, lined, fabric. These cues may indicate a fabric-like material.",0,False,0.04776020403411885,0.125
data/ssvtp\images_tac/image_3131_tac.jpg,property,Please describe the tactile properties of this sample.,"sewn, coarse, fabric, deformable","The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",0,False,0.05195151087116781,0.11764705882352941
data/ssvtp\images_tac/image_3131_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","sewn, coarse, fabric, deformable","Compared with rock, it feels soft, lined, fabric, diverging from typical rock traits.",0,False,0.05195151087116781,0.125
data/ssvtp\images_tac/image_3131_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","sewn, coarse, fabric, deformable","The sample feels soft, fabric. These cues may indicate a fabric-like material.",0,False,0.05195151087116781,0.125
data/ssvtp\images_tac/image_3881_tac.jpg,property,Please describe the tactile properties of this sample.,"flimsy, glossy, sewn","The surface feels soft, fabric, providing a consistent and stable tactile experience.",0,False,0.04789232204309912,0.0
data/ssvtp\images_tac/image_3881_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","flimsy, glossy, sewn","Compared with rock, it feels soft, fabric, diverging from typical rock traits.",0,False,0.04789232204309912,0.0
data/ssvtp\images_tac/image_3881_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","flimsy, glossy, sewn","The sample feels soft, fabric. These cues may indicate a fabric-like material.",0,False,0.04368583925857939,0.0
data/ssvtp\images_tac/image_2275_tac.jpg,property,Please describe the tactile properties of this sample.,"lined, deformable, soft, woven","The surface feels lined, fabric, providing a consistent and stable tactile experience.",0,False,0.05695389012765513,0.125
data/ssvtp\images_tac/image_2275_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, deformable, soft, woven","Compared with rock, it feels lined, fabric, diverging from typical rock traits.",0,False,0.05695389012765513,0.13333333333333333
data/ssvtp\images_tac/image_2275_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","lined, deformable, soft, woven","The sample feels lined, fabric. These cues may indicate a fabric-like material.",0,False,0.05195151087116781,0.125
data/ssvtp\images_tac/image_1398_tac.jpg,property,Please describe the tactile properties of this sample.,"soft, lined, fabric","The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",0,False,0.11498759556447223,0.375
data/ssvtp\images_tac/image_1398_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","soft, lined, fabric","Compared with rock, it feels soft, lined, fabric, diverging from typical rock traits.",0,False,0.11498759556447223,0.4
data/ssvtp\images_tac/image_1398_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","soft, lined, fabric","The sample feels soft, lined, fabric. These cues may indicate a fabric-like material.",0,False,0.10571070857151538,0.375
data/ssvtp\images_tac/image_1871_tac.jpg,property,Please describe the tactile properties of this sample.,"lined, grainy, fabric","The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",0,False,0.06178110636313397,0.25
data/ssvtp\images_tac/image_1871_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, grainy, fabric","Compared with rock, it feels soft, lined, fabric, diverging from typical rock traits.",0,False,0.06178110636313397,0.26666666666666666
data/ssvtp\images_tac/image_1871_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","lined, grainy, fabric","The sample feels lined, fabric. These cues may indicate a fabric-like material.",0,False,0.06178110636313397,0.26666666666666666
