image_path,intent,question,reference_label,model_answer,rgb_refs_attached,used_intent_template,BLEU4,TokenF1
data/ssvtp\images_tac/image_437_tac.jpg,property,Please describe the tactile properties of this sample.,"smooth, glossy, patterned","The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",1,True,0.04368583925857939,0.0
data/ssvtp\images_tac/image_437_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","smooth, glossy, patterned","Compared with rock, it feels soft, lined, fabric, diverging from typical rock traits.",2,True,0.04368583925857939,0.0
data/ssvtp\images_tac/image_437_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","smooth, glossy, patterned","The surface appears soft, lined, fabric. These cues may indicate a fabric-like material.",2,True,0.040161384364076534,0.0
data/ssvtp\images_tac/image_4210_tac.jpg,property,Please describe the tactile properties of this sample.,"flat, lined, hard","The surface feels smooth, fabric, providing a consistent and stable tactile experience.",1,True,0.04789232204309912,0.0
data/ssvtp\images_tac/image_4210_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","flat, lined, hard","Compared with rock, it feels shiny, woven, diverging from typical rock traits.",2,True,0.04789232204309912,0.0
data/ssvtp\images_tac/image_4210_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","flat, lined, hard","The sample feels shiny, woven. It may be a metal-like material.",2,True,0.04789232204309912,0.0
data/ssvtp\images_tac/image_3312_tac.jpg,property,Please describe the tactile properties of this sample.,"fabric, coarse, deformable","The surface feels soft, grainy, fabric, patterned, providing a consistent and stable tactile experience.",1,True,0.04776020403411885,0.11764705882352941
data/ssvtp\images_tac/image_3312_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","fabric, coarse, deformable","Compared with rock, it feels soft, lined, fabric, grainy, diverging from typical rock traits.",2,True,0.04776020403411885,0.125
data/ssvtp\images_tac/image_3312_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","fabric, coarse, deformable","The surface feels soft, lined, fabric. It may be fabric, but I'm not certain.",2,True,0.044196871634129616,0.11764705882352941
data/ssvtp\images_tac/image_3131_tac.jpg,property,Please describe the tactile properties of this sample.,"sewn, coarse, fabric, deformable","The surface feels soft, grainy, fabric, providing a consistent and stable tactile experience.",1,True,0.05195151087116781,0.11764705882352941
data/ssvtp\images_tac/image_3131_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","sewn, coarse, fabric, deformable","Compared with rock, it feels soft, grainy, fabric, diverging from typical rock traits.",2,True,0.05195151087116781,0.125
data/ssvtp\images_tac/image_3131_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","sewn, coarse, fabric, deformable","The sample feels soft, fabric, grainy. These cues may indicate a fabric-like material.",2,True,0.04776020403411885,0.11764705882352941
data/ssvtp\images_tac/image_3881_tac.jpg,property,Please describe the tactile properties of this sample.,"flimsy, glossy, sewn","The surface feels smooth, fabric, providing a consistent and stable tactile experience.",1,True,0.04789232204309912,0.0
data/ssvtp\images_tac/image_3881_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","flimsy, glossy, sewn","Compared with rock, it feels smooth, fabric, diverging from typical rock traits.",2,True,0.04789232204309912,0.0
data/ssvtp\images_tac/image_3881_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","flimsy, glossy, sewn","The surface appears smooth, fabric. The material could be fabric, but I'm not certain.",2,True,0.03716499092256817,0.0
data/ssvtp\images_tac/image_2275_tac.jpg,property,Please describe the tactile properties of this sample.,"lined, deformable, soft, woven","The surface feels soft, lined, fabric, patterned, providing a consistent and stable tactile experience.",1,True,0.0567967744513558,0.22222222222222224
data/ssvtp\images_tac/image_2275_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, deformable, soft, woven","Compared with rock, it feels soft, lined, fabric, patterned, diverging from typical rock traits.",2,True,0.0567967744513558,0.23529411764705882
data/ssvtp\images_tac/image_2275_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","lined, deformable, soft, woven","The material appears soft, lined, fabric.",2,True,0.16233395773754952,0.4
data/ssvtp\images_tac/image_1398_tac.jpg,property,Please describe the tactile properties of this sample.,"soft, lined, fabric","The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",1,True,0.11498759556447223,0.375
data/ssvtp\images_tac/image_1398_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","soft, lined, fabric","Compared with rock, it feels soft, lined, fabric, diverging from typical rock traits.",2,True,0.11498759556447223,0.4
data/ssvtp\images_tac/image_1398_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","soft, lined, fabric","The sample feels soft, lined, fabric. It may be fabric.",2,True,0.15619699684601276,0.5
data/ssvtp\images_tac/image_1871_tac.jpg,property,Please describe the tactile properties of this sample.,"lined, grainy, fabric","The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",1,True,0.06178110636313397,0.25
data/ssvtp\images_tac/image_1871_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, grainy, fabric","Compared with rock, it feels soft, lined, fabric, diverging from typical rock traits.",2,True,0.06178110636313397,0.26666666666666666
data/ssvtp\images_tac/image_1871_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","lined, grainy, fabric","The surface feels soft, lined, fabric. It may be fabric-like.",2,True,0.07495553473355841,0.30769230769230765
data/ssvtp\images_tac/image_2751_tac.jpg,property,Please describe the tactile properties of this sample.,"sewn, soft, fabric","The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",1,True,0.06178110636313397,0.25
data/ssvtp\images_tac/image_2751_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","sewn, soft, fabric","Compared with rock, it feels soft, lined, fabric, diverging from typical rock traits.",2,True,0.06178110636313397,0.26666666666666666
data/ssvtp\images_tac/image_2751_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","sewn, soft, fabric","The material appears soft, fabric, lined.",2,True,0.19304869754804482,0.4444444444444444
data/ssvtp\images_tac/image_2875_tac.jpg,property,Please describe the tactile properties of this sample.,"fabric, soft, deformable","The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",1,True,0.06178110636313397,0.25
data/ssvtp\images_tac/image_2875_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","fabric, soft, deformable","Compared with rock, it feels soft, lined, fabric, diverging from typical rock traits.",2,True,0.06178110636313397,0.26666666666666666
data/ssvtp\images_tac/image_2875_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","fabric, soft, deformable","The surface feels soft, lined, fabric. It may be fabric.",2,True,0.08392229812593097,0.3333333333333333
data/ssvtp\images_tac/image_960_tac.jpg,property,Please describe the tactile properties of this sample.,"soft, lined, fabric","The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",1,True,0.11498759556447223,0.375
data/ssvtp\images_tac/image_960_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","soft, lined, fabric","Compared with rock, the sample feels soft, lined, fabric, diverging from typical rock traits.",2,True,0.10571070857151538,0.375
data/ssvtp\images_tac/image_960_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","soft, lined, fabric","The surface feels soft, lined, fabric. It may be fabric.",2,True,0.15619699684601276,0.5
data/ssvtp\images_tac/image_2427_tac.jpg,property,Please describe the tactile properties of this sample.,"smooth, plastic, deformable","The surface feels glossy, smooth, providing a consistent and stable tactile experience.",1,True,0.05695389012765513,0.13333333333333333
data/ssvtp\images_tac/image_2427_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","smooth, plastic, deformable","Compared with rock, it feels smooth, fabric, diverging from typical rock traits.",2,True,0.05695389012765513,0.14285714285714288
data/ssvtp\images_tac/image_2427_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","smooth, plastic, deformable","The surface appears glossy, smooth. These cues may indicate a metal-like material.",2,True,0.05195151087116781,0.125
data/ssvtp\images_tac/image_1793_tac.jpg,property,Please describe the tactile properties of this sample.,"hard, smooth, flat, splotchy","The surface feels hard, splotchy, glossy, providing a consistent and stable tactile experience.",1,True,0.06178110636313397,0.23529411764705882
data/ssvtp\images_tac/image_1793_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","hard, smooth, flat, splotchy","Compared with rock, it feels hard, splotchy, glossy, diverging from typical rock traits.",2,True,0.06178110636313397,0.25
data/ssvtp\images_tac/image_1793_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","hard, smooth, flat, splotchy","The sample feels hard, splotchy, glossy. It may be indicative of a metal-like material.",2,True,0.052559234208168874,0.2105263157894737
data/ssvtp\images_tac/image_185_tac.jpg,property,Please describe the tactile properties of this sample.,"mesh, plastic, deformable, hard","The surface feels shiny, woven, providing a consistent and stable tactile experience.",1,True,0.04789232204309912,0.0
data/ssvtp\images_tac/image_185_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","mesh, plastic, deformable, hard","Compared with rock, the sample feels soft, lined, fabric, diverging from typical rock traits.",2,True,0.040161384364076534,0.0
data/ssvtp\images_tac/image_185_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","mesh, plastic, deformable, hard","The surface feels shiny, woven. It may be a metal-like material.",2,True,0.04789232204309912,0.0
data/ssvtp\images_tac/image_2096_tac.jpg,property,Please describe the tactile properties of this sample.,"deformable, grainy, woven","The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",1,True,0.04368583925857939,0.0
data/ssvtp\images_tac/image_2096_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","deformable, grainy, woven","Compared with rock, the sample feels soft, fabric, diverging from typical rock traits.",2,True,0.04368583925857939,0.0
data/ssvtp\images_tac/image_2096_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","deformable, grainy, woven","The sample feels soft, fabric. It may be fabric, but I'm not certain.",2,True,0.040161384364076534,0.0
data/ssvtp\images_tac/image_464_tac.jpg,property,Please describe the tactile properties of this sample.,"hard, splotchy, smooth, flat","The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",1,True,0.04368583925857939,0.0
data/ssvtp\images_tac/image_464_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","hard, splotchy, smooth, flat","Compared with rock, it feels hard, splotchy, glossy, diverging from typical rock traits.",2,True,0.0734705312597788,0.25
data/ssvtp\images_tac/image_464_tac.jpg,judgement,"Based on the tactile cues, what material do you think this sample is?","hard, splotchy, smooth, flat","The surface appears soft, lined, fabric. These cues may indicate a fabric-like material.",2,True,0.040161384364076534,0.0
data/ssvtp\images_tac/image_4490_tac.jpg,property,Please describe the tactile properties of this sample.,"uneven, patterned, thick","The surface feels round, shiny, providing a consistent and stable tactile experience.",1,True,0.04789232204309912,0.0
data/ssvtp\images_tac/image_4490_tac.jpg,comparison,"Compared with rock, how does the tactile sensation of this sample differ?","uneven, patterned, thick","Compared with rock, it feels shiny, woven, diverging from typical rock traits.",2,True,0.04789232204309912,0.0
