setting,key,desc,image_rel,image_path,tid,intent_qtype,intent_mode,used_intent,pred_intent,gold_intent,intent_correct,answer,reference_labels,label,BLEU4,TokenF1
A1__t2rgbP__rgb0__tpl1__imode_gold,A1,projector,images_rgb/image_437_rgb.jpg,data/ssvtp\images_rgb/image_437_rgb.jpg,437,property,gold,gold,,,0,"The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",,"smooth, glossy, patterned",0.04368583925857939,0.0
A1__t2rgbP__rgb0__tpl1__imode_gold,A1,projector,images_rgb/image_437_rgb.jpg,data/ssvtp\images_rgb/image_437_rgb.jpg,437,comparison,gold,gold,,,0,"The surface feels soft, lined, fabric. It closely matches with fabric, lined, soft.",,"smooth, glossy, patterned",0.04368583925857939,0.0
A1__t2rgbP__rgb0__tpl1__imode_gold,A1,projector,images_rgb/image_437_rgb.jpg,data/ssvtp\images_rgb/image_437_rgb.jpg,437,judgement,gold,gold,,,0,"The sample feels soft, lined, fabric. These cues may indicate a fabric-like material.",,"smooth, glossy, patterned",0.040161384364076534,0.0
A1__t2rgbP__rgb0__tpl1__imode_gold,A1,projector,images_rgb/image_4210_rgb.jpg,data/ssvtp\images_rgb/image_4210_rgb.jpg,4210,property,gold,gold,,,0,"The surface feels shiny, sewn, indicating a consistent and stable texture.",,"flat, lined, hard",0.053001566897562954,0.0
A1__t2rgbP__rgb0__tpl1__imode_gold,A1,projector,images_rgb/image_4210_rgb.jpg,data/ssvtp\images_rgb/image_4210_rgb.jpg,4210,comparison,gold,gold,,,0,"The surface feels smooth, fabric. It is similar to the reference tactile labels fabric, smooth, indicating a close match.",,"flat, lined, hard",0.028629993657668874,0.0
A1__t2rgbP__rgb0__tpl1__imode_gold,A1,projector,images_rgb/image_4210_rgb.jpg,data/ssvtp\images_rgb/image_4210_rgb.jpg,4210,judgement,gold,gold,,,0,"The sample feels soft, fabric. These cues may indicate a fabric-like material.",,"flat, lined, hard",0.04368583925857939,0.0
A1__t2rgbP__rgb0__tpl1__imode_gold,A1,projector,images_rgb/image_3312_rgb.jpg,data/ssvtp\images_rgb/image_3312_rgb.jpg,3312,property,gold,gold,,,0,"The surface feels fabric, soft, lined, providing a consistent and stable tactile experience.",,"fabric, coarse, deformable",0.05195151087116781,0.125
A1__t2rgbP__rgb0__tpl1__imode_gold,A1,projector,images_rgb/image_3312_rgb.jpg,data/ssvtp\images_rgb/image_3312_rgb.jpg,3312,comparison,gold,gold,,,0,"The surface feels fabric, grainy. It best matches with the reference tactile labels.",,"fabric, coarse, deformable",0.05195151087116781,0.13333333333333333
A1__t2rgbP__rgb0__tpl1__imode_gold,A1,projector,images_rgb/image_3312_rgb.jpg,data/ssvtp\images_rgb/image_3312_rgb.jpg,3312,judgement,gold,gold,,,0,"The sample feels fabric, lined. These cues may indicate a fabric-like material.",,"fabric, coarse, deformable",0.05195151087116781,0.13333333333333333
A1__t2rgbP__rgb0__tpl1__imode_gold,A1,projector,images_rgb/image_3131_rgb.jpg,data/ssvtp\images_rgb/image_3131_rgb.jpg,3131,property,gold,gold,,,0,"The surface feels soft, lined, fabric, providing a consistent and stable tactile experience.",,"sewn, coarse, fabric, deformable",0.05195151087116781,0.11764705882352941
