label,intention,question,reference_labels,model_answer
"smooth, glossy, patterned",property,Please describe the tactile properties of this sample.,"smooth, plastic, uneven","The surface feels flat, hard, patterned, providing a consistent and stable tactile experience."
"smooth, glossy, patterned",comparison,"Compared with rock, how does the tactile sensation of this sample differ?","smooth, plastic, uneven|fabric, soft, granular","Sample feels fabric, soft, granular. Compared with rock, it is less hard, rough, rigid, diverging from typical rock traits."
"smooth, glossy, patterned",judgement,"Based on the tactile cues, what material do you think this sample is?","smooth, plastic, uneven|fabric, soft, granular","The surface feels fabric, granular, soft. These cues may indicate a fabric-like material."
"flat, lined, hard",property,Please describe the tactile properties of this sample.,"lined, smooth, flat","The surface feels flat, lined, soft, providing a consistent and stable tactile experience."
"flat, lined, hard",comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, smooth, flat|uneven, rigid","Sample feels shiny, woven. Compared with rock, it is different. Key traits: lined, smooth, flat."
"flat, lined, hard",judgement,"Based on the tactile cues, what material do you think this sample is?","lined, smooth, flat|uneven, rigid","The surface feels smooth, fabric. These cues may indicate a fabric-like material."
"fabric, coarse, deformable",property,Please describe the tactile properties of this sample.,"lined, grainy, flat, fabric","The surface feels grainy, fabric, providing a consistent and stable tactile experience."
"fabric, coarse, deformable",comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, grainy, flat, fabric|lined, granular, patterned","Sample feels lined, grainy, flat, fabric. Compared with rock, it is fabric, granular, diverging from typical rock traits."
"fabric, coarse, deformable",judgement,"Based on the tactile cues, what material do you think this sample is?","lined, grainy, flat, fabric|lined, granular, patterned","The sample feels grainy, fabric. These cues may indicate a fabric-like material."
"sewn, coarse, fabric, deformable",property,Please describe the tactile properties of this sample.,"sewn, lined, grainy, fabric","The surface feels fabric, grainy, providing a consistent and stable tactile experience."
"sewn, coarse, fabric, deformable",comparison,"Compared with rock, how does the tactile sensation of this sample differ?","sewn, lined, grainy, fabric|soft, grainy, fabric, patterned","Sample feels fabric, grainy. Compared with rock, it is less hard, less rigid, diverging from typical rock traits."
"sewn, coarse, fabric, deformable",judgement,"Based on the tactile cues, what material do you think this sample is?","sewn, lined, grainy, fabric|soft, grainy, fabric, patterned","The surface feels fabric, grainy, patterned. These cues may indicate a fabric-like material."
"flimsy, glossy, sewn",property,Please describe the tactile properties of this sample.,"shiny, woven","The surface feels smooth, fabric, providing a consistent and stable tactile experience."
"flimsy, glossy, sewn",comparison,"Compared with rock, how does the tactile sensation of this sample differ?","shiny, woven|smooth, fabric","The sample feels shiny, smooth, fabric. Compared with rock, it is less hard, less rough, diverging from typical rock traits."
"flimsy, glossy, sewn",judgement,"Based on the tactile cues, what material do you think this sample is?","shiny, woven|smooth, fabric","The surface feels smooth, fabric. It may be fabric-like."
"lined, deformable, soft, woven",property,Please describe the tactile properties of this sample.,"lined, fabric, soft, patterned, woven","The surface feels fabric, lined, soft, patterned, woven, providing a consistent and stable tactile experience."
"lined, deformable, soft, woven",comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, fabric, soft, patterned, woven|fabric, deformable","The sample feels soft, lined, fabric, patterned. Compared with rock, it is fabric, deformable, diverging from typical rock traits."
"lined, deformable, soft, woven",judgement,"Based on the tactile cues, what material do you think this sample is?","lined, fabric, soft, patterned, woven|fabric, deformable","The surface feels lined, fabric, soft, patterned. These cues may indicate a fabric-like material."
"soft, lined, fabric",property,Please describe the tactile properties of this sample.,"coarse, folded","The surface feels folded, coarse, soft, lined, fabric, providing a consistent and stable tactile experience."
"soft, lined, fabric",comparison,"Compared with rock, how does the tactile sensation of this sample differ?","coarse, folded|metallic, rigid, intertwined","Sample feels metallic, rigid, intertwined, shiny. Compared with rock, it is less rough, hard, diverging from typical rock traits."
"soft, lined, fabric",judgement,"Based on the tactile cues, what material do you think this sample is?","coarse, folded|metallic, rigid, intertwined","The sample feels metallic, rigid, intertwined. These cues may indicate a metal-like material."
"lined, grainy, fabric",property,Please describe the tactile properties of this sample.,"soft, lined, fabric","The surface feels fabric, wrinkly, providing a consistent and stable tactile experience."
"lined, grainy, fabric",comparison,"Compared with rock, how does the tactile sensation of this sample differ?","soft, lined, fabric|flat, grainy","The sample feels soft, lined, fabric, fabric, grainy. Compared with rock, it is fabric, lined, diverging from typical rock traits."
"lined, grainy, fabric",judgement,"Based on the tactile cues, what material do you think this sample is?","soft, lined, fabric|flat, grainy","The sample feels lined, fabric. These cues may indicate a fabric-like material."
"sewn, soft, fabric",property,Please describe the tactile properties of this sample.,"sewn, lined, patterned, smooth, fabric","The surface feels sewn, lined, patterned, fabric, smooth, providing a consistent and stable tactile experience."
"sewn, soft, fabric",comparison,"Compared with rock, how does the tactile sensation of this sample differ?","sewn, lined, patterned, smooth, fabric|soft, lined, fabric","Compared with rock, it feels soft, lined, fabric, diverging from typical rock traits."
"sewn, soft, fabric",judgement,"Based on the tactile cues, what material do you think this sample is?","sewn, lined, patterned, smooth, fabric|soft, lined, fabric","The sample feels lined, fabric, sewn. These cues may indicate a fabric-like material."
"fabric, soft, deformable",property,Please describe the tactile properties of this sample.,"lined, deformable","The surface feels fabric, wrinkled, lined, soft, providing a consistent and stable tactile experience."
"fabric, soft, deformable",comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, deformable|soft, fabric, lined","Compared with rock, it feels fabric, lined, soft, diverging from typical rock traits."
"fabric, soft, deformable",judgement,"Based on the tactile cues, what material do you think this sample is?","lined, deformable|soft, fabric, lined","The sample feels deformable, lined, fabric. These cues may indicate a fabric-like material."
"soft, lined, fabric",property,Please describe the tactile properties of this sample.,"grainy, patterned, soft, fabric","The surface feels soft, fabric, lined, providing a consistent and stable tactile experience."
"soft, lined, fabric",comparison,"Compared with rock, how does the tactile sensation of this sample differ?","grainy, patterned, soft, fabric|soft, patterned, fabric","The sample feels soft, fabric, lined. Compared with rock, it is less hard, flat, diverging from typical rock traits."
"soft, lined, fabric",judgement,"Based on the tactile cues, what material do you think this sample is?","grainy, patterned, soft, fabric|soft, patterned, fabric","The surface feels soft, fabric. These cues may indicate a fabric-like material."
"smooth, plastic, deformable",property,Please describe the tactile properties of this sample.,"shiny, vague","The surface feels shiny, vague, soft, smooth, fabric, providing a consistent and stable tactile experience."
"smooth, plastic, deformable",comparison,"Compared with rock, how does the tactile sensation of this sample differ?","shiny, vague|soft, fabric","Sample feels shiny, vague, smooth. Compared with rock, it is less hard, rough, diverging from typical rock traits."
"smooth, plastic, deformable",judgement,"Based on the tactile cues, what material do you think this sample is?","shiny, vague|soft, fabric","The sample feels shiny, vague. These cues may indicate a metal-like material."
"hard, smooth, flat, splotchy",property,Please describe the tactile properties of this sample.,"hard, flat","The surface feels hard, flat, splotchy, smooth, providing a consistent and stable tactile experience."
"hard, smooth, flat, splotchy",comparison,"Compared with rock, how does the tactile sensation of this sample differ?","hard, flat|hard, flat, splotchy, smooth","Compared with rock, it feels hard, flat, splotchy, smooth, diverging from typical rock traits."
"hard, smooth, flat, splotchy",judgement,"Based on the tactile cues, what material do you think this sample is?","hard, flat|hard, flat, splotchy, smooth","The sample feels hard, flat, splotchy, smooth. These cues may indicate a metal-like material."
"mesh, plastic, deformable, hard",property,Please describe the tactile properties of this sample.,"mesh, plastic, deformable","The surface feels grainy, fabric, providing a consistent and stable tactile experience."
"mesh, plastic, deformable, hard",comparison,"Compared with rock, how does the tactile sensation of this sample differ?","mesh, plastic, deformable|patterned, bumpy","Sample feels mesh, plastic, deformable. Compared with rock, it is less hard, less flat, diverging from typical rock traits."
"mesh, plastic, deformable, hard",judgement,"Based on the tactile cues, what material do you think this sample is?","mesh, plastic, deformable|patterned, bumpy","The sample feels woven, glossy. These cues may indicate a metal-like material."
"deformable, grainy, woven",property,Please describe the tactile properties of this sample.,"deformable, fabric","The surface feels lined, fabric, soft, providing a consistent and stable tactile experience."
"deformable, grainy, woven",comparison,"Compared with rock, how does the tactile sensation of this sample differ?","deformable, fabric|hard, splotchy, flat, smooth","The sample feels hard, splotchy, flat, smooth, diverging from typical rock traits."
"deformable, grainy, woven",judgement,"Based on the tactile cues, what material do you think this sample is?","deformable, fabric|hard, splotchy, flat, smooth","The surface feels deformable, fabric. It may be similar to a fabric-like material."
"hard, splotchy, smooth, flat",property,Please describe the tactile properties of this sample.,"lined, fabric, soft","The surface feels fabric, lined, soft, providing a consistent and stable tactile experience."
"hard, splotchy, smooth, flat",comparison,"Compared with rock, how does the tactile sensation of this sample differ?","lined, fabric, soft|hard, splotchy, glossy","The sample feels hard, splotchy, glossy, flat. Compared with a rock, it is less lined, fabric, and more hard, splotchy, glossy, flat."
"hard, splotchy, smooth, flat",judgement,"Based on the tactile cues, what material do you think this sample is?","lined, fabric, soft|hard, splotchy, glossy","The surface feels fabric, lined, soft. These cues may indicate a fabric-like material."
"uneven, patterned, thick",property,Please describe the tactile properties of this sample.,"wired, rubbery, deformable","The surface feels wired, rubbery, deformable, smooth, fabric, providing a consistent and stable tactile experience."
"uneven, patterned, thick",comparison,"Compared with rock, how does the tactile sensation of this sample differ?","wired, rubbery, deformable|woven, glossy, rubbery, round","The sample feels wired, rubbery, deformable, diverging from typical rock traits."
