index,resolved_tactile_path
106,data\ssvtp\images_tac/image_106_tac.jpg
2101,data\ssvtp\images_tac/image_2101_tac.jpg
894,data\ssvtp\images_tac/image_894_tac.jpg
2488,data\ssvtp\images_tac/image_2488_tac.jpg
2803,data\ssvtp\images_tac/image_2803_tac.jpg
627,data\ssvtp\images_tac/image_627_tac.jpg
143,data\ssvtp\images_tac/image_143_tac.jpg
2518,data\ssvtp\images_tac/image_2518_tac.jpg
229,data\ssvtp\images_tac/image_229_tac.jpg
348,data\ssvtp\images_tac/image_348_tac.jpg
4454,data\ssvtp\images_tac/image_4454_tac.jpg
2465,data\ssvtp\images_tac/image_2465_tac.jpg
2702,data\ssvtp\images_tac/image_2702_tac.jpg
1187,data\ssvtp\images_tac/image_1187_tac.jpg
2367,data\ssvtp\images_tac/image_2367_tac.jpg
2612,data\ssvtp\images_tac/image_2612_tac.jpg
2445,data\ssvtp\images_tac/image_2445_tac.jpg
2401,data\ssvtp\images_tac/image_2401_tac.jpg
16,data\ssvtp\images_tac/image_16_tac.jpg
96,data\ssvtp\images_tac/image_96_tac.jpg
2530,data\ssvtp\images_tac/image_2530_tac.jpg
2281,data\ssvtp\images_tac/image_2281_tac.jpg
364,data\ssvtp\images_tac/image_364_tac.jpg
3391,data\ssvtp\images_tac/image_3391_tac.jpg
156,data\ssvtp\images_tac/image_156_tac.jpg
1422,data\ssvtp\images_tac/image_1422_tac.jpg
1227,data\ssvtp\images_tac/image_1227_tac.jpg
1794,data\ssvtp\images_tac/image_1794_tac.jpg
4047,data\ssvtp\images_tac/image_4047_tac.jpg
2900,data\ssvtp\images_tac/image_2900_tac.jpg
1675,data\ssvtp\images_tac/image_1675_tac.jpg
153,data\ssvtp\images_tac/image_153_tac.jpg
3275,data\ssvtp\images_tac/image_3275_tac.jpg
2064,data\ssvtp\images_tac/image_2064_tac.jpg
1500,data\ssvtp\images_tac/image_1500_tac.jpg
2280,data\ssvtp\images_tac/image_2280_tac.jpg
3327,data\ssvtp\images_tac/image_3327_tac.jpg
2616,data\ssvtp\images_tac/image_2616_tac.jpg
4239,data\ssvtp\images_tac/image_4239_tac.jpg
781,data\ssvtp\images_tac/image_781_tac.jpg
4256,data\ssvtp\images_tac/image_4256_tac.jpg
1723,data\ssvtp\images_tac/image_1723_tac.jpg
1442,data\ssvtp\images_tac/image_1442_tac.jpg
1764,data\ssvtp\images_tac/image_1764_tac.jpg
4197,data\ssvtp\images_tac/image_4197_tac.jpg
74,data\ssvtp\images_tac/image_74_tac.jpg
4567,data\ssvtp\images_tac/image_4567_tac.jpg
13,data\ssvtp\images_tac/image_13_tac.jpg
1028,data\ssvtp\images_tac/image_1028_tac.jpg
3594,data\ssvtp\images_tac/image_3594_tac.jpg
1271,data\ssvtp\images_tac/image_1271_tac.jpg
3864,data\ssvtp\images_tac/image_3864_tac.jpg
1300,data\ssvtp\images_tac/image_1300_tac.jpg
2371,data\ssvtp\images_tac/image_2371_tac.jpg
856,data\ssvtp\images_tac/image_856_tac.jpg
2889,data\ssvtp\images_tac/image_2889_tac.jpg
1699,data\ssvtp\images_tac/image_1699_tac.jpg
3062,data\ssvtp\images_tac/image_3062_tac.jpg
577,data\ssvtp\images_tac/image_577_tac.jpg
4555,data\ssvtp\images_tac/image_4555_tac.jpg
3489,data\ssvtp\images_tac/image_3489_tac.jpg
3187,data\ssvtp\images_tac/image_3187_tac.jpg
1072,data\ssvtp\images_tac/image_1072_tac.jpg
1845,data\ssvtp\images_tac/image_1845_tac.jpg
4409,data\ssvtp\images_tac/image_4409_tac.jpg
808,data\ssvtp\images_tac/image_808_tac.jpg
1522,data\ssvtp\images_tac/image_1522_tac.jpg
3077,data\ssvtp\images_tac/image_3077_tac.jpg
1529,data\ssvtp\images_tac/image_1529_tac.jpg
3804,data\ssvtp\images_tac/image_3804_tac.jpg
332,data\ssvtp\images_tac/image_332_tac.jpg
2948,data\ssvtp\images_tac/image_2948_tac.jpg
83,data\ssvtp\images_tac/image_83_tac.jpg
1116,data\ssvtp\images_tac/image_1116_tac.jpg
1621,data\ssvtp\images_tac/image_1621_tac.jpg
1571,data\ssvtp\images_tac/image_1571_tac.jpg
842,data\ssvtp\images_tac/image_842_tac.jpg
180,data\ssvtp\images_tac/image_180_tac.jpg
2319,data\ssvtp\images_tac/image_2319_tac.jpg
1955,data\ssvtp\images_tac/image_1955_tac.jpg
2167,data\ssvtp\images_tac/image_2167_tac.jpg
1698,data\ssvtp\images_tac/image_1698_tac.jpg
2868,data\ssvtp\images_tac/image_2868_tac.jpg
3245,data\ssvtp\images_tac/image_3245_tac.jpg
1099,data\ssvtp\images_tac/image_1099_tac.jpg
4143,data\ssvtp\images_tac/image_4143_tac.jpg
161,data\ssvtp\images_tac/image_161_tac.jpg
890,data\ssvtp\images_tac/image_890_tac.jpg
181,data\ssvtp\images_tac/image_181_tac.jpg
2006,data\ssvtp\images_tac/image_2006_tac.jpg
1749,data\ssvtp\images_tac/image_1749_tac.jpg
3602,data\ssvtp\images_tac/image_3602_tac.jpg
1985,data\ssvtp\images_tac/image_1985_tac.jpg
871,data\ssvtp\images_tac/image_871_tac.jpg
502,data\ssvtp\images_tac/image_502_tac.jpg
1443,data\ssvtp\images_tac/image_1443_tac.jpg
3270,data\ssvtp\images_tac/image_3270_tac.jpg
1112,data\ssvtp\images_tac/image_1112_tac.jpg
3509,data\ssvtp\images_tac/image_3509_tac.jpg
824,data\ssvtp\images_tac/image_824_tac.jpg
1298,data\ssvtp\images_tac/image_1298_tac.jpg
569,data\ssvtp\images_tac/image_569_tac.jpg
1145,data\ssvtp\images_tac/image_1145_tac.jpg
3762,data\ssvtp\images_tac/image_3762_tac.jpg
4543,data\ssvtp\images_tac/image_4543_tac.jpg
1325,data\ssvtp\images_tac/image_1325_tac.jpg
3519,data\ssvtp\images_tac/image_3519_tac.jpg
2509,data\ssvtp\images_tac/image_2509_tac.jpg
4203,data\ssvtp\images_tac/image_4203_tac.jpg
3020,data\ssvtp\images_tac/image_3020_tac.jpg
439,data\ssvtp\images_tac/image_439_tac.jpg
3218,data\ssvtp\images_tac/image_3218_tac.jpg
952,data\ssvtp\images_tac/image_952_tac.jpg
